train_count,track_utilization,block_duration,time,train_priority,previous_delay,congestion,expected_delay
4,15.0,1,6,1,2.3,LOW,25.2
16,56.4,1,19,2,5.1,MEDIUM,56.16
10,28.7,1,14,2,20.2,LOW,39.73
19,86.0,3,10,1,3.9,HIGH,70.18
6,18.0,2,7,2,0.5,LOW,30.58
25,92.0,2,20,1,0.2,HIGH,78.41
3,17.0,2,6,2,1.9,LOW,24.65
15,56.8,1,18,3,0.4,MEDIUM,50.89
9,25.5,3,22,3,3.7,LOW,48.32
12,52.3,3,10,2,3.9,MEDIUM,55.24
25,86.7,1,10,1,28.6,HIGH,86.21
10,36.4,2,23,2,2.9,LOW,38.6
25,84.5,2,20,2,7.3,HIGH,86.78
5,17.0,1,3,1,13.7,LOW,20.83
9,30.9,1,7,1,5.8,LOW,37.23
3,15.0,5,23,3,9.5,LOW,45.96
14,49.1,1,2,3,29.3,MEDIUM,58.19
19,69.4,2,21,1,3.1,MEDIUM,60.71
14,44.2,3,20,2,0.6,LOW,54.51
6,19.8,2,1,2,4.5,LOW,26.93
3,15.0,1,23,1,6.2,LOW,15.09
15,57.7,4,11,1,6.9,MEDIUM,68.95
8,36.6,2,5,2,10.7,LOW,47.11
3,15.0,3,1,1,18.3,LOW,38.11
17,59.9,3,20,1,5.5,MEDIUM,64.47
3,15.0,3,0,2,1.2,LOW,28.47
21,75.9,5,11,3,4.1,HIGH,96.95
14,49.1,3,21,2,1.4,MEDIUM,60.14
15,57.1,3,11,2,1.6,MEDIUM,60.3
10,38.1,4,16,1,0.0,LOW,49.6
17,62.4,4,9,1,21.2,MEDIUM,78.61
3,15.0,5,15,2,10.9,LOW,46.74
8,31.5,3,14,1,0.8,LOW,43.94
3,15.0,1,14,3,20.2,LOW,26.17
25,73.5,3,18,1,16.3,HIGH,79.64
20,67.5,1,11,1,19.3,MEDIUM,69.08
14,58.8,2,22,1,0.8,MEDIUM,48.77
25,89.0,1,19,3,0.7,HIGH,71.7
3,15.0,4,2,1,0.6,LOW,38.24
4,15.0,2,4,1,27.3,LOW,36.52
14,50.3,3,18,1,8.6,MEDIUM,56.88
3,15.0,2,6,2,1.6,LOW,23.69
16,54.3,1,20,1,21.2,MEDIUM,50.79
18,59.6,2,8,1,4.7,MEDIUM,61.78
14,50.4,3,6,1,12.3,MEDIUM,50.53
23,78.4,4,17,2,8.1,HIGH,85.28
9,36.0,1,3,1,8.4,LOW,32.46
6,26.6,1,13,1,4.6,LOW,32.26
25,92.4,3,17,1,4.0,HIGH,88.28
18,79.3,1,8,2,1.4,HIGH,52.27
14,43.1,1,20,2,0.6,LOW,43.4
12,38.4,1,1,2,21.0,LOW,47.5
17,55.5,3,19,3,22.1,MEDIUM,76.84
12,29.2,1,14,3,8.2,LOW,45.99
10,35.7,2,6,1,3.9,LOW,33.27
22,74.2,5,11,2,0.2,HIGH,85.22
10,40.9,3,7,2,4.7,LOW,43.53
12,46.3,2,14,3,8.6,LOW,50.93
13,46.9,2,2,1,2.9,LOW,42.04
3,15.0,1,13,2,3.4,LOW,23.0
9,27.2,1,16,1,5.1,LOW,27.19
9,31.8,1,3,3,5.5,LOW,33.31
15,53.3,2,17,1,10.9,MEDIUM,67.45
6,20.2,2,7,1,5.5,LOW,34.28
7,23.7,4,3,1,14.9,LOW,50.16
3,15.0,4,1,1,5.3,LOW,31.12
4,15.0,1,5,2,0.3,LOW,15.89
14,53.0,2,21,1,1.2,MEDIUM,43.6
23,62.5,1,9,1,10.1,MEDIUM,66.84
4,15.3,2,3,3,4.8,LOW,32.7
23,79.8,1,21,1,4.9,HIGH,63.59
17,62.9,4,17,2,30.5,MEDIUM,86.32
19,64.0,4,11,1,6.8,MEDIUM,67.2
10,21.4,1,1,1,1.0,LOW,39.83
14,36.7,3,9,2,4.5,LOW,53.58
3,15.0,2,3,2,6.6,LOW,22.91
9,36.7,2,13,1,0.3,LOW,31.33
3,15.0,2,15,3,3.6,LOW,32.14
9,38.5,3,14,3,27.5,LOW,60.94
11,35.2,4,7,3,11.1,LOW,58.56
7,22.5,3,13,1,3.7,LOW,45.07
4,24.1,2,22,1,2.4,LOW,26.71
13,45.9,3,7,2,2.7,LOW,52.87
23,70.0,5,20,2,14.1,HIGH,95.26
10,34.7,2,15,1,4.1,LOW,35.21
6,26.2,1,12,2,14.8,LOW,25.38
22,71.6,3,17,1,19.2,HIGH,79.48
4,24.5,5,14,1,5.0,LOW,35.24
24,74.1,1,20,1,23.2,HIGH,79.27
5,15.0,2,23,2,2.9,LOW,29.16
6,30.9,1,12,1,2.4,LOW,21.02
23,73.1,3,8,2,0.9,HIGH,75.5
11,31.6,4,14,2,2.3,LOW,52.3
7,20.8,2,12,2,11.9,LOW,38.49
9,24.8,2,0,3,4.1,LOW,40.07
11,42.8,4,6,2,1.3,LOW,46.07
21,68.6,1,8,3,0.9,MEDIUM,58.5
4,15.0,4,23,1,5.4,LOW,33.57
8,25.6,2,0,1,6.2,LOW,35.93
20,62.6,2,11,1,12.7,MEDIUM,66.21
13,44.0,2,7,1,10.0,LOW,50.15
14,41.9,2,23,2,1.5,LOW,52.87
20,66.8,4,10,1,2.6,MEDIUM,71.98
14,46.6,5,18,2,9.5,LOW,66.25
7,35.0,3,16,2,1.6,LOW,43.75
12,47.9,1,7,2,13.0,LOW,55.46
10,35.0,2,2,1,8.6,LOW,39.19
3,15.0,2,2,2,6.1,LOW,23.73
11,35.5,4,0,1,8.3,LOW,56.29
13,45.0,2,4,1,0.8,LOW,44.31
25,80.0,5,9,2,6.4,HIGH,94.94
8,24.9,5,6,2,4.8,LOW,50.14
15,49.5,2,8,1,5.8,MEDIUM,54.44
7,23.7,4,6,3,3.3,LOW,42.42
16,55.4,5,8,1,5.1,MEDIUM,81.48
14,52.0,3,7,1,17.2,MEDIUM,55.18
23,83.7,3,11,1,3.4,HIGH,64.91
6,23.7,3,1,2,0.4,LOW,34.93
14,58.1,1,0,2,2.4,MEDIUM,46.89
11,41.3,2,15,1,4.8,LOW,47.01
7,23.5,1,22,1,6.1,LOW,24.29
3,15.0,1,22,2,4.5,LOW,15.25
10,39.5,4,23,1,14.0,LOW,57.95
11,35.9,2,4,1,19.7,LOW,42.91
7,26.2,1,2,2,5.3,LOW,31.39
12,43.8,2,11,1,0.6,LOW,42.31
8,15.0,5,7,3,4.4,LOW,47.54
15,42.0,4,21,1,1.6,LOW,59.58
7,29.0,1,2,2,2.7,LOW,23.53
4,16.3,5,0,1,14.3,LOW,38.09
5,15.0,2,2,3,6.1,LOW,29.68
13,27.9,3,4,1,14.1,LOW,49.93
12,49.5,3,14,2,33.9,LOW,74.67
5,20.9,4,13,2,6.3,LOW,42.1
11,45.7,4,2,1,19.5,LOW,58.71
10,28.2,1,0,1,9.2,LOW,33.5
8,23.5,2,4,2,0.9,LOW,34.93
7,34.7,2,22,3,4.3,LOW,38.43
12,43.3,2,13,1,8.6,LOW,48.42
4,15.0,2,6,1,9.8,LOW,28.01
15,50.0,2,8,2,15.8,MEDIUM,61.27
12,30.4,2,14,1,8.1,LOW,37.22
10,40.8,1,14,3,0.8,LOW,39.29
23,66.3,2,9,2,1.2,HIGH,75.2
8,31.1,3,12,2,3.2,LOW,44.17
13,44.7,2,18,1,2.8,LOW,47.18
3,15.0,5,6,1,2.0,LOW,37.4
6,16.9,1,16,2,7.7,LOW,33.63
14,56.4,2,19,3,4.5,MEDIUM,63.63
11,33.9,2,3,3,9.2,LOW,48.56
14,47.5,1,4,1,3.9,MEDIUM,37.96
7,23.9,1,22,1,2.6,LOW,26.44
7,21.8,4,6,1,6.4,LOW,48.51
14,50.0,2,12,3,0.8,MEDIUM,50.95
14,51.9,2,14,1,35.8,MEDIUM,50.5
20,67.3,2,10,1,8.5,MEDIUM,74.64
10,37.8,4,3,1,1.0,LOW,50.66
9,34.5,2,12,1,7.8,LOW,34.28
10,36.4,4,6,3,0.6,LOW,51.37
25,94.0,2,18,2,5.6,HIGH,80.52
23,87.9,2,21,1,2.7,HIGH,71.48
12,38.4,1,1,1,9.7,LOW,37.9
20,66.2,3,9,1,5.3,MEDIUM,73.47
3,15.0,3,12,1,12.3,LOW,38.13
13,43.8,2,20,1,2.1,LOW,46.0
7,25.7,1,5,2,8.5,LOW,33.99
25,78.0,2,11,1,9.3,HIGH,73.46
23,76.6,1,11,1,5.2,HIGH,71.29
21,71.9,2,19,1,15.6,HIGH,73.95
22,69.3,4,10,2,1.3,HIGH,79.96
8,17.3,3,22,2,11.4,LOW,40.67
13,51.9,1,6,2,1.1,MEDIUM,46.12
12,31.5,5,0,2,1.4,LOW,51.13
7,33.2,4,0,2,1.8,LOW,49.21
25,91.8,2,19,1,8.7,HIGH,77.31
6,22.3,2,12,3,8.2,LOW,39.27
24,84.3,4,8,1,4.7,HIGH,85.71
8,31.7,2,2,1,3.0,LOW,28.61
8,24.7,2,6,2,7.6,LOW,35.08
4,15.0,3,5,1,1.2,LOW,24.47
13,43.0,1,7,3,7.9,LOW,40.01
19,66.7,4,8,1,0.1,MEDIUM,73.36
10,30.0,2,4,3,1.2,LOW,33.65
10,31.0,2,0,2,9.8,LOW,38.68
23,90.2,1,18,3,16.6,HIGH,81.84
24,83.5,2,9,3,0.6,HIGH,74.16
18,54.2,2,11,3,8.1,MEDIUM,71.37
8,32.3,2,23,2,0.5,LOW,43.26
8,25.5,3,14,1,16.9,LOW,49.6
22,71.2,1,21,1,4.0,HIGH,65.3
5,31.6,1,23,2,10.8,LOW,29.24
19,65.0,2,8,3,1.5,MEDIUM,67.81
12,36.0,2,19,2,15.8,LOW,61.1
10,30.5,1,16,3,4.5,LOW,31.7
7,24.7,1,16,2,1.9,LOW,20.09
12,41.7,4,19,1,6.8,LOW,58.34
19,67.4,1,11,1,2.7,MEDIUM,58.57
7,15.0,4,6,1,2.7,LOW,42.38
11,30.7,2,1,1,1.0,LOW,40.14
13,43.1,3,2,2,1.9,LOW,56.51
10,30.8,1,16,3,12.8,LOW,40.74
14,41.1,3,4,2,5.9,LOW,52.94
12,43.0,1,16,1,3.5,LOW,37.03
9,33.3,2,23,1,21.2,LOW,38.61
6,30.7,1,16,1,12.8,LOW,34.77
4,17.8,3,16,2,3.0,LOW,30.99
14,50.5,4,1,1,0.9,MEDIUM,54.17
11,36.4,2,1,1,1.6,LOW,38.85
15,67.3,2,21,1,9.0,MEDIUM,56.63
8,25.2,3,22,1,6.6,LOW,37.59
9,28.5,4,4,3,31.6,LOW,64.78
14,53.4,2,0,1,0.1,MEDIUM,51.02
5,15.0,4,0,1,16.8,LOW,42.79
15,50.5,2,18,1,0.1,MEDIUM,59.34
