station_id,station_name,zone,latitude,longitude,station_type,platforms,daily_train_capacity
BZA,Vijayawada Junction,SCR,16.5193,80.6218,MAJOR_JUNCTION,10,350
KCC,Krishna Canal Junction,SCR,16.4812,80.6074,JUNCTION,3,120
MAG,Mangalagiri,SCR,16.4381,80.5574,PASSENGER_STATION,3,80
GNT,Guntur Junction,SCR,16.3067,80.4365,MAJOR_JUNCTION,7,180
TEL,Tenali Junction,SCR,16.2433,80.6483,JUNCTION,5,140
BPP,Bapatla,SCR,15.9042,80.4674,PASSENGER_STATION,3,90
CLX,Chirala,SCR,15.8236,80.3522,PASSENGER_STATION,3,90
OGL,Ongole,SCR,15.5057,80.0499,JUNCTION,4,130
GDV,Gudivada Junction,SCR,16.441,80.9934,JUNCTION,3,85
MTM,Machilipatnam,SCR,16.1843,81.1374,TERMINUS,3,40
BVRM,Bhimavaram Junction,SCR,16.5428,81.5231,JUNCTION,4,75
NS,Narsapur,SCR,16.4339,81.6961,TERMINUS,3,35
EE,Eluru,SCR,16.7107,81.0952,PASSENGER_STATION,3,150
NZD,Nuzvid,SCR,16.7888,80.8465,PASSENGER_STATION,2,70
TDD,Tadepalligudem,SCR,16.8329,81.5262,PASSENGER_STATION,3,110
NDD,Nidadavolu Junction,SCR,16.9069,81.6669,JUNCTION,3,100
RJY,Rajahmundry,SCR,17.0005,81.78,MAJOR_JUNCTION,4,160
SLO,Samalkot Junction,SCR,17.0524,82.1671,JUNCTION,3,110
DVD,Duvvada,ECoR,17.7011,83.1539,PASSENGER_STATION,4,120
VSKP,Visakhapatnam Junction,ECoR,17.7231,83.2892,MAJOR_TERMINUS,8,200
KKP,Kondapalli,SCR,16.6133,80.5361,FREIGHT_HUB,3,90
RYP,Rayanapadu,SCR,16.5583,80.5833,PASSENGER_STATION,4,100
KMT,Khammam,SCR,17.2473,80.1514,PASSENGER_STATION,4,130
DKJ,Dornakal Junction,SCR,17.452,80.1558,JUNCTION,3,80
KZJ,Kazipet Junction,SCR,17.9784,79.5209,MAJOR_JUNCTION,6,220
