track_id,from_station,to_station,distance_km,travel_time_min,capacity_trains_per_hour,track_type,status,maintenance_allowed,risk_score
T001,BZA,KCC,5.2,8,5,QUADRUPLE_ELECTRIFIED,AVAILABLE,YES,0.1
T002,KCC,MAG,7.8,10,4,DOUBLE_ELECTRIFIED,MAINTENANCE,YES,0.35
T003,MAG,GNT,21.3,22,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T004,KCC,TEL,20.1,20,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.12
T005,TEL,GNT,25.4,26,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.18
T006,TEL,BPP,38.6,32,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T007,BPP,CLX,15.2,14,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.1
T008,CLX,OGL,49.1,40,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.2
T009,BZA,NZD,41.5,38,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.14
T010,NZD,EE,27.3,24,4,DOUBLE_ELECTRIFIED,BLOCKED,NO,0.85
T011,BZA,EE,59.8,48,5,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.1
T012,EE,TDD,48.2,40,4,DOUBLE_ELECTRIFIED,MAINTENANCE,YES,0.4
T013,TDD,NDD,20.5,18,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.12
T014,NDD,RJY,22.8,22,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T015,RJY,SLO,50.1,42,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.11
T016,SLO,DVD,132.4,110,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.25
T017,DVD,VSKP,17.6,25,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.18
T018,BZA,GDV,43.1,45,3,SINGLE_ELECTRIFIED,AVAILABLE,YES,0.22
T019,GDV,MTM,37.8,42,2,SINGLE_ELECTRIFIED,AVAILABLE,YES,0.18
T020,GDV,BVRM,45.6,48,2,SINGLE_ELECTRIFIED,AVAILABLE,YES,0.2
T021,BVRM,NS,29.4,32,2,SINGLE_ELECTRIFIED,AVAILABLE,YES,0.15
T022,BVRM,NDD,39.2,40,2,SINGLE_ELECTRIFIED,AVAILABLE,YES,0.25
T023,BZA,KKP,16.2,18,4,DOUBLE_ELECTRIFIED,BLOCKED,NO,0.9
T024,BZA,RYP,10.4,12,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.08
T025,KKP,KMT,89.1,72,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T026,RYP,KMT,94.3,75,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.12
T027,KMT,DKJ,25.7,22,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.14
T028,DKJ,KZJ,68.9,58,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.16
T029,KCC,BZA,5.2,8,5,QUADRUPLE_ELECTRIFIED,AVAILABLE,YES,0.1
T030,GNT,MAG,21.3,22,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T031,GNT,TEL,25.4,26,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.18
T032,TEL,KCC,20.1,20,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.12
T033,OGL,CLX,49.1,40,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.2
T034,CLX,BPP,15.2,14,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.1
T035,BPP,TEL,38.6,32,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T036,EE,BZA,59.8,48,5,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.1
T037,NDD,TDD,20.5,18,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.12
T038,RJY,NDD,22.8,22,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.15
T039,VSKP,DVD,17.6,25,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.18
T040,DVD,SLO,132.4,110,3,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.25
T041,KMT,RYP,94.3,75,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.12
T042,KZJ,DKJ,68.9,58,4,DOUBLE_ELECTRIFIED,AVAILABLE,YES,0.16
