train_id,source,destination,normal_route,normal_time_min,priority
TR003,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR004,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR007,KZJ,VSKP,KZJ → DKJ → KMT → RYP → BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,472,HIGH
TR008,VSKP,KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,472,HIGH
TR015,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,LOW
TR016,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,LOW
TR017,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,MEDIUM
TR018,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,MEDIUM
TR024,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,MEDIUM
TR026,RJY,BZA,RJY → NDD → TDD → EE → BZA,128,MEDIUM
TR027,SLO,GNT,SLO → RJY → NDD → TDD → EE → BZA → KCC → MAG → GNT,210,LOW
TR028,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR029,VSKP,KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,472,HIGH
TR031,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR032,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR039,KZJ,RJY,KZJ → DKJ → KMT → RYP → BZA → EE → TDD → NDD → RJY,295,HIGH
TR040,RJY,KZJ,RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,295,HIGH
TR046,OGL,VSKP,OGL → CLX → BPP → TEL → KCC → BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,419,MEDIUM
TR047,VSKP,OGL,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → KCC → TEL → BPP → CLX → OGL,419,MEDIUM
TR048,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR049,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR054,BZA,EE,BZA → EE,48,LOW
TR055,EE,BZA,EE → BZA,48,LOW
TR056,BZA,EE,BZA → EE,48,LOW
TR058,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR059,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR060,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR061,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR062,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,MEDIUM
TR063,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
