train_id,source,destination,normal_route,alternative_route,normal_time_min,alternative_time_min,additional_delay_min,priority
TR003,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
TR004,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,HIGH
TR007,KZJ,VSKP,KZJ → DKJ → KMT → RYP → BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,KZJ → DKJ → KMT → RYP → BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,472,486,14,HIGH
TR008,VSKP,KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA → RYP → KMT → DKJ → KZJ,472,486,14,HIGH
TR015,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,LOW
TR016,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,LOW
TR017,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,MEDIUM
TR018,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,MEDIUM
TR024,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,MEDIUM
TR026,RJY,BZA,RJY → NDD → TDD → EE → BZA,RJY → NDD → TDD → EE → NZD → BZA,128,142,14,MEDIUM
TR027,SLO,GNT,SLO → RJY → NDD → TDD → EE → BZA → KCC → MAG → GNT,SLO → RJY → NDD → TDD → EE → NZD → BZA → KCC → MAG → GNT,210,224,14,LOW
TR028,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
TR029,VSKP,KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA → RYP → KMT → DKJ → KZJ,472,486,14,HIGH
TR031,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
TR032,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,HIGH
TR039,KZJ,RJY,KZJ → DKJ → KMT → RYP → BZA → EE → TDD → NDD → RJY,KZJ → DKJ → KMT → RYP → BZA → NZD → EE → TDD → NDD → RJY,295,309,14,HIGH
TR040,RJY,KZJ,RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,RJY → NDD → TDD → EE → NZD → BZA → RYP → KMT → DKJ → KZJ,295,309,14,HIGH
TR046,OGL,VSKP,OGL → CLX → BPP → TEL → KCC → BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,OGL → CLX → BPP → TEL → KCC → BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,419,433,14,MEDIUM
TR047,VSKP,OGL,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → KCC → TEL → BPP → CLX → OGL,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA → KCC → TEL → BPP → CLX → OGL,419,433,14,MEDIUM
TR048,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
TR049,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,HIGH
TR054,BZA,EE,BZA → EE,BZA → NZD → EE,48,62,14,LOW
TR055,EE,BZA,EE → BZA,EE → NZD → BZA,48,62,14,LOW
TR056,BZA,EE,BZA → EE,BZA → NZD → EE,48,62,14,LOW
TR058,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,HIGH
TR059,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
TR060,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,BZA → NZD → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,319,14,HIGH
TR061,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
TR062,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,MEDIUM
TR063,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → NZD → BZA,305,319,14,HIGH
