train_id,source,destination,normal_route,travel_time_min,priority
TR001,BZA,OGL,BZA → KCC → TEL → BPP → CLX → OGL,114,HIGH
TR002,OGL,BZA,OGL → CLX → BPP → TEL → KCC → BZA,114,HIGH
TR003,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR004,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR005,GNT,KZJ,GNT → MAG → KCC → BZA → RYP → KMT → DKJ → KZJ,207,HIGH
TR006,KZJ,GNT,KZJ → DKJ → KMT → RYP → BZA → KCC → MAG → GNT,207,HIGH
TR007,KZJ,VSKP,KZJ → DKJ → KMT → RYP → BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,472,HIGH
TR008,VSKP,KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,472,HIGH
TR009,BZA,KZJ,BZA → RYP → KMT → DKJ → KZJ,167,HIGH
TR010,KZJ,BZA,KZJ → DKJ → KMT → RYP → BZA,167,HIGH
TR011,MTM,GNT,MTM → GDV → BZA → KCC → MAG → GNT,127,MEDIUM
TR012,GNT,BZA,GNT → MAG → KCC → BZA,40,MEDIUM
TR013,BZA,GNT,BZA → KCC → MAG → GNT,40,LOW
TR014,GNT,BZA,GNT → MAG → KCC → BZA,40,LOW
TR015,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,LOW
TR016,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,LOW
TR017,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,MEDIUM
TR018,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,MEDIUM
TR019,BZA,KZJ,BZA → RYP → KMT → DKJ → KZJ,167,HIGH
TR020,KZJ,BZA,KZJ → DKJ → KMT → RYP → BZA,167,HIGH
TR021,KZJ,BZA,KZJ → DKJ → KMT → RYP → BZA,167,LOW
TR022,KKP,GNT,KKP → BZA → KCC → MAG → GNT,58,LOW
TR023,BZA,KZJ,BZA → RYP → KMT → DKJ → KZJ,167,MEDIUM
TR024,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,MEDIUM
TR025,GNT,BZA,GNT → MAG → KCC → BZA,40,LOW
TR026,RJY,BZA,RJY → NDD → TDD → EE → BZA,128,MEDIUM
TR027,SLO,GNT,SLO → RJY → NDD → TDD → EE → BZA → KCC → MAG → GNT,210,LOW
TR028,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR029,VSKP,KZJ,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,472,HIGH
TR030,OGL,BZA,OGL → CLX → BPP → TEL → KCC → BZA,114,LOW
TR031,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR032,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR033,BZA,OGL,BZA → KCC → TEL → BPP → CLX → OGL,114,HIGH
TR034,OGL,BZA,OGL → CLX → BPP → TEL → KCC → BZA,114,HIGH
TR035,KZJ,BZA,KZJ → DKJ → KMT → RYP → BZA,167,HIGH
TR036,BZA,KZJ,BZA → RYP → KMT → DKJ → KZJ,167,HIGH
TR037,NS,BZA,NS → BVRM → GDV → BZA,125,MEDIUM
TR038,BZA,NS,BZA → GDV → BVRM → NS,125,MEDIUM
TR039,KZJ,RJY,KZJ → DKJ → KMT → RYP → BZA → EE → TDD → NDD → RJY,295,HIGH
TR040,RJY,KZJ,RJY → NDD → TDD → EE → BZA → RYP → KMT → DKJ → KZJ,295,HIGH
TR041,BZA,MTM,BZA → GDV → MTM,87,LOW
TR042,MTM,BZA,MTM → GDV → BZA,87,LOW
TR043,BZA,BVRM,BZA → GDV → BVRM,93,LOW
TR044,BVRM,NDD,BVRM → NDD,40,LOW
TR045,NDD,RJY,NDD → RJY,22,LOW
TR046,OGL,VSKP,OGL → CLX → BPP → TEL → KCC → BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,419,MEDIUM
TR047,VSKP,OGL,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA → KCC → TEL → BPP → CLX → OGL,419,MEDIUM
TR048,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR049,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR050,GNT,BZA,GNT → MAG → KCC → BZA,40,MEDIUM
TR051,GNT,BZA,GNT → MAG → KCC → BZA,40,HIGH
TR052,BZA,GNT,BZA → KCC → MAG → GNT,40,HIGH
TR053,GNT,MTM,GNT → MAG → KCC → BZA → GDV → MTM,127,MEDIUM
TR054,BZA,EE,BZA → EE,48,LOW
TR055,EE,BZA,EE → BZA,48,LOW
TR056,BZA,EE,BZA → EE,48,LOW
TR057,KKP,KZJ,KKP → KMT → DKJ → KZJ,152,MEDIUM
TR058,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR059,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR060,BZA,VSKP,BZA → EE → TDD → NDD → RJY → SLO → DVD → VSKP,305,HIGH
TR061,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR062,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,MEDIUM
TR063,VSKP,BZA,VSKP → DVD → SLO → RJY → NDD → TDD → EE → BZA,305,HIGH
TR064,MTM,BZA,MTM → GDV → BZA,87,LOW
TR065,BZA,GDV,BZA → GDV,45,LOW
